"Round","Pick","Player","Name","Team","Position","College","year"
"","5","100","Travis Benjamin","Browns","WR","Miami (FL)",2012
"","6","101","Omar Bolden","Broncos","DB","Arizona State",2012
"","7","102","Kirk Cousins","Redskins","QB","Michigan State",2012
"","8","103","Frank Alexander","Panthers","DE","Oklahoma",2012
"","9","104","Joe Adams","Panthers","WR","Arkansas",2012
"","10","105","Nigel Bradham","Bills","LB","Florida State",2012
"","11","106","Robert Turbin","Seahawks","RB","Utah State",2012
"","12","107","Devon Wylie","Chiefs","WR","Fresno State",2012
"","13","108","Philip Blake","Broncos","C","Baylor",2012
"","14","109","Alameda Ta'amu","Steelers","DT","Washington",2012
"","15","110","Ladarius Green","Chargers","TE","Louisiana-Lafayette",2012
"","16","111","Evan Rodriguez","Bears","TE","Temple",2012
"","17","112","Bobby Massie","Cardinals","T","Mississippi",2012
"","18","113","Kyle Wilber","Cowboys","LB","Wake Forest",2012
"","19","114","Jaye Howard","Seahawks","DT","Florida",2012
"","20","115","Coty Sensabaugh","Titans","DB","Clemson",2012
"","21","116","Orson Charles","Bengals","TE","Georgia",2012
"","22","117","Joe Looney","49ers","G","Wake Forest",2012
"","23","118","Jarius Wright","Vikings","WR","Arkansas",2012
"","24","119","Keenan Robinson","Redskins","LB","Texas",2012
"","25","120","James-Michael Johnson","Browns","LB","Nevada",2012
"","26","121","Keshawn Martin","Texans","WR","Michigan State",2012
"","27","122","Nick Toon","Saints","WR","Wisconsin",2012
"","28","123","Brandon Boykin","Eagles","DB","Georgia",2012
"","29","124","Ron Brooks","Bills","DB","Louisiana State",2012
"","30","125","Ronnell Lewis","Lions","LB","Oklahoma",2012
"","31","126","Jared Crick","Texans","DT","Nebraska",2012
"","32","127","Adrien Robinson","Giants","TE","Cincinnati",2012
"","33","128","Rhett Ellison","Vikings","RB","USC",2012
"","34","129","Miles Burris","Raiders","LB","San Diego State",2012
"","35","130","Christian Thompson","Ravens","DB","South Carolina State",2012
"","36","131","Brandon Mosley","Giants","T","Auburn",2012
"","37","132","Mike Daniels","Packers","DT","Iowa",2012
"","38","133","Jeron McMillian","Packers","DB","Maine",2012
"","39","134","Greg Childs","Vikings","WR","Arkansas",2012
"","40","135","Matt Johnson","Cowboys","DB","Eastern Washington",2012
"5","1","136","Josh Chapman","Colts","DT","Alabama",2012
"","2","137","Malik Jackson","Broncos","DT","Tennessee",2012
"","3","138","Tahir Whitehead","Lions","LB","Temple",2012
"","4","139","Robert Blanton","Vikings","DB","Notre Dame",2012
"","5","140","Najee Goode","Buccaneers","LB","West Virginia",2012
"","6","141","Adam Gettis","Redskins","G","Iowa",2012
"","7","142","Brandon Marshall","Jaguars","LB","Nevada",2012
"","8","143","Josh Norman","Panthers","DB","Coastal Carolina",2012
"","9","144","Zebrie Sanders","Bills","T","Florida State",2012
"","10","145","Taylor Thompson","Titans","TE","Southern Methodist",2012
"","11","146","DeQuan Menzie","Chiefs","DB","Alabama",2012
"","12","147","Tank Carder","Bills","LB","Texas Christian",2012
