"year","name","college","pos","height_in","weight_lbs","wonderlic","x40_yard","bench_press","vert_leap_in","broad_jump_in","shuttle","x3cone"
2016,"Stephen Weatherly","Vanderbilt","OLB",76.38,267,NA,4.61,23,31,117,9.99,9.99
2016,"Carson Wentz","North Dakota State","QB",77.25,237,29,4.77,NA,30.5,118,4.15,6.86
2016,"Christian Westerman","Arizona State","G",75.13,298,NA,5.12,34,NA,98,4.71,7.69
2016,"D.J. White","Georgia Tech","CB",70.88,193,NA,4.49,17,33,132,4.33,7.18
2016,"Cody Whitehair","Kansas State","G",75,301,NA,5.02,16,25.5,110,4.58,7.32
2016,"Brandon Wilds","South Carolina","RB",72.75,220,NA,4.54,21,36.5,118,4.33,7.08
2016,"Brandon Williams","Texas A&M","FS",71.38,197,NA,4.37,18,30.5,118,4.19,6.85
2016,"Bryce Williams","East Carolina (NC)","TE",77,257,NA,4.94,19,29.5,111,4.53,7.19
2016,"Duke Williams","Auburn","WR",74.25,229,NA,4.72,14,30,121,4.47,7.43
2016,"Jonathan Williams","Arkansas","RB",70,220,NA,9.99,16,NA,NA,9.99,9.99
2016,"DeRunnya Wilson","Mississippi State","WR",76,224,NA,4.85,NA,28,113,9.99,9.99
2016,"Josh Woodrum","Liberty (VA)","QB",74,231,NA,4.8,NA,31,116,4.31,6.74
2016,"Antwaun Woods","Southern California","DT",72.13,318,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Daryl Worley","West Virginia","CB",72.75,204,NA,4.64,14,35.5,123,4.15,6.98
2016,"Scooby Wright","Arizona","ILB",71,239,NA,4.9,22,31,113,4.47,9.99
2016,"Connor Wujciak","Boston College","DT",74,291,NA,4.91,22,34.5,117,4.27,7.32
2016,"Avery Young","Auburn","OT",76,328,NA,5.39,NA,NA,NA,4.91,8.22
2016,"Tavon Young","Temple","CB",69,183,NA,4.46,9,34.5,118,3.93,6.8
2016,"Anthony Zettel","Penn State","DE",75,277,NA,4.81,28,30.5,109,4.39,7.63
NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
