college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
Harvey Mudd College,California,34,68,Not Division 1 Football,Private not-for-profit,831,155800
Princeton University,New Jersey,36,47,Not Division 1 Football,Private not-for-profit,5666,147800
Massachusetts Institute of Technology,Massachusetts,34,60,Not Division 1 Football,Private not-for-profit,4680,147e3
SUNY Maritime College,New York,2,36,Not Division 1 Football,Public,1817,145100
United States Military Academy,New York,8,44,FBS Independents,Public,4536,144300
United States Naval Academy,Maryland,11,56,FBS Independents,Public,4535,143800
California Institute of Technology,California,27,73,Not Division 1 Football,Private not-for-profit,1034,142500
Babson College,Massachusetts,36,1,Not Division 1 Football,Private not-for-profit,2211,141700
Harvard University,Massachusetts,38,20,Not Division 1 Football,Private not-for-profit,14128,140700
Stanford University,California,36,48,Pac-12,Private not-for-profit,8302,140400
Dartmouth College,New Hampshire,37,33,Not Division 1 Football,Private not-for-profit,4695,140300
Williams College,Massachusetts,39,34,Not Division 1 Football,Private not-for-profit,2233,138400
United States Air Force Academy,Colorado,11,48,Mountain West,Public,4112,138300
Webb Institute,New York,8,75,Not Division 1 Football,Private not-for-profit,91,138200
Samuel Merritt University,California,69,1,Not Division 1 Football,Private not-for-profit,851,138100
Colgate University,New York,44,28,Not Division 1 Football,Private not-for-profit,2991,137700
Stevens Institute of Technology,New Jersey,17,65,Not Division 1 Football,Private not-for-profit,3076,136900
Colorado School of Mines,Colorado,16,72,Not Division 1 Football,Public,4821,136100
United States Merchant Marine Academy,New York,7,53,Not Division 1 Football,Public,908,135900
University of Pennsylvania,Pennsylvania,41,23,Not Division 1 Football,Private not-for-profit,13096,134800
Santa Clara University,California,38,31,Not Division 1 Football,Private not-for-profit,5759,134500
Duke University,North Carolina,37,27,ACC,Private not-for-profit,7253,134400
Lehigh University,Pennsylvania,32,51,Not Division 1 Football,Private not-for-profit,5325,133900
Albany College of Pharmacy and Health Sciences,New York,49,3,Not Division 1 Football,Private not-for-profit,1008,133500
Yale University,Connecticut,39,24,Not Division 1 Football,Private not-for-profit,7150,132100
Brown University,Rhode Island,42,40,Not Division 1 Football,Private not-for-profit,7214,132e3
Washington and Lee University,Virginia,37,22,Not Division 1 Football,Private not-for-profit,1867,131700
Claremont McKenna College,California,36,15,Not Division 1 Football,Private not-for-profit,1359,130800
Rice University,Texas,35,49,Conference USA,Private not-for-profit,4051,130200
University of California-Berkeley,California,40,35,Pac-12,Public,29591,130100
Georgetown University,District of Columbia,44,13,Not Division 1 Football,Private not-for-profit,8719,129500
Rensselaer Polytechnic Institute,New York,19,62,Not Division 1 Football,Private not-for-profit,5914,129500
Worcester Polytechnic Institute,Massachusetts,21,69,Not Division 1 Football,Private not-for-profit,4362,129400
Georgia Institute of Technology-Main Campus,Georgia,23,64,ACC,Public,16694,128700
University of Notre Dame,Indiana,36,27,FBS Independents,Private not-for-profit,8626,127900
California State University Maritime Academy,California,6,20,Not Division 1 Football,Public,1147,126800
Clarkson University,New York,18,51,Not Division 1 Football,Private not-for-profit,3352,126700
Carnegie Mellon University,Pennsylvania,32,58,Not Division 1 Football,Private not-for-profit,6869,126400
Swarthmore College,Pennsylvania,38,35,Not Division 1 Football,Private not-for-profit,1606,126200
Rose-Hulman Institute of Technology,Indiana,11,74,Not Division 1 Football,Private not-for-profit,2339,125900
Bates College,Maine,38,27,Not Division 1 Football,Private not-for-profit,1903,125e3
University of California-San Diego,California,35,53,Not Division 1 Football,Public,27918,124900
Columbia University in the City of New York,New York,35,31,Not Division 1 Football,Private not-for-profit,8623,124700
Bucknell University,Pennsylvania,40,38,Not Division 1 Football,Private not-for-profit,3721,124700
Virginia Military Institute,Virginia,3,44,Not Division 1 Football,Public,1762,124600
Wabash College,Indiana,1,28,Not Division 1 Football,Private not-for-profit,873,124400
"Union College - Schenectady, NY",New York,34,46,Not Division 1 Football,Private not-for-profit,2277,124300
Cooper Union for the Advancement of Science and Art,New York,22,53,Not Division 1 Football,Private not-for-profit,942,124200
Cornell University,New York,39,44,Not Division 1 Football,Private not-for-profit,14656,123900
Lafayette College,Pennsylvania,37,42,Not Division 1 Football,Private not-for-profit,2541,123800
Amherst College,Massachusetts,38,28,Not Division 1 Football,Private not-for-profit,1921,122800
Yeshiva University,New York,33,14,Not Division 1 Football,Private not-for-profit,2949,122300
Tufts University,Massachusetts,39,25,Not Division 1 Football,Private not-for-profit,5697,120200
College of the Holy Cross,Massachusetts,38,23,Not Division 1 Football,Private not-for-profit,2759,119700
New Jersey Institute of Technology,New Jersey,13,61,Not Division 1 Football,Public,8992,119700
Haverford College,Pennsylvania,40,39,Not Division 1 Football,Private not-for-profit,1305,119500
University of Southern California,California,38,25,Pac-12,Private not-for-profit,20543,119300
Manhattan College,New York,33,39,Not Division 1 Football,Private not-for-profit,3675,119300
MCPHS University,Massachusetts,58,3,Not Division 1 Football,Private not-for-profit,4116,119200
University of California-Irvine,California,42,33,Not Division 1 Football,Public,26991,118800
University of California-Santa Barbara,California,40,29,Not Division 1 Football,Public,21897,118800
Wake Forest University,North Carolina,40,15,ACC,Private not-for-profit,4966,118400
University of Virginia-Main Campus,Virginia,43,22,ACC,Public,18930,118400
Massachusetts Maritime Academy,Massachusetts,5,44,Not Division 1 Football,Public,1742,118300
The King's University,Texas,40,1,Not Division 1 Football,Private not-for-profit,693,118200
Maine Maritime Academy,Maine,5,50,Not Division 1 Football,Public,997,117900
Wesleyan University,Connecticut,43,23,Not Division 1 Football,Private not-for-profit,3091,117700
Fairfield University,Connecticut,48,22,Not Division 1 Football,Private not-for-profit,4398,117500
University of the Sciences,Pennsylvania,48,10,Not Division 1 Football,Private not-for-profit,1572,117200
University of Chicago,Illinois,36,21,Not Division 1 Football,Private not-for-profit,6046,117e3
Kettering University,Michigan,8,62,Not Division 1 Football,Private not-for-profit,2092,117e3
New York University,New York,45,18,Not Division 1 Football,Private not-for-profit,3e4,117e3
United States Coast Guard Academy,Connecticut,88,76,Not Division 1 Football,Public,NA,116700
Hobart William Smith Colleges,New York,37,16,Not Division 1 Football,Private not-for-profit,2378,116400
New Mexico Institute of Mining and Technology,New Mexico,19,70,Not Division 1 Football,Public,1755,116200
Vanderbilt University,Tennessee,38,23,SEC,Private not-for-profit,7046,116e3
George Washington University,District of Columbia,44,15,Not Division 1 Football,Private not-for-profit,12039,115900
Saint Mary's College of California,California,48,6,Not Division 1 Football,Private not-for-profit,3105,115800
Bowdoin College,Maine,38,36,Not Division 1 Football,Private not-for-profit,1952,115500
Boston College,Massachusetts,41,12,ACC,Private not-for-profit,10297,115300
University of California-Los Angeles,California,44,32,Pac-12,Public,31906,114800
California Polytechnic State University-San Luis Obispo,California,35,42,Not Division 1 Football,Public,20622,114700
Loyola Marymount University,California,44,11,Not Division 1 Football,Private not-for-profit,6624,114700
Villanova University,Pennsylvania,42,24,Not Division 1 Football,Private not-for-profit,7871,114700
Illinois Institute of Technology,Illinois,17,56,Not Division 1 Football,Private not-for-profit,3858,114400
Bentley University,Massachusetts,29,8,Not Division 1 Football,Private not-for-profit,4369,114300
Loyola University Maryland,Maryland,46,9,Not Division 1 Football,Private not-for-profit,4128,114200
Brandeis University,Massachusetts,45,27,Not Division 1 Football,Private not-for-profit,3852,114200
Menlo College,California,32,1,Not Division 1 Football,Private not-for-profit,852,114100
Pomona College,California,38,44,Not Division 1 Football,Private not-for-profit,1677,114100
Carleton College,Minnesota,40,41,Not Division 1 Football,Private not-for-profit,2093,113800
Boston University,Massachusetts,48,24,Not Division 1 Football,Private not-for-profit,22685,113500
Washington University in St Louis,Missouri,42,32,Not Division 1 Football,Private not-for-profit,8440,113400
Pennsylvania State University-Penn State Great Valley,Pennsylvania,88,20,Not Division 1 Football,Public,NA,113400
Northwestern University,Illinois,39,20,Big Ten,Private not-for-profit,10611,113300
Embry-Riddle Aeronautical University-Prescott,Arizona,11,40,Not Division 1 Football,Private not-for-profit,2356,113200
Middlebury College,Vermont,41,19,Not Division 1 Football,Private not-for-profit,3849,113200
Franklin and Marshall College,Pennsylvania,41,22,Not Division 1 Football,Private not-for-profit,2417,112400
Texas A & M University-College Station,Texas,37,31,SEC,Public,51788,112400
Johns Hopkins University,Maryland,43,34,Not Division 1 Football,Private not-for-profit,8152,112200
Missouri University of Science and Technology,Missouri,12,66,Not Division 1 Football,Public,7163,112200
College of William and Mary,Virginia,45,21,Not Division 1 Football,Public,6890,111900
Westmont College,California,49,19,Not Division 1 Football,Private not-for-profit,1359,111500
Davidson College,North Carolina,39,25,Not Division 1 Football,Private not-for-profit,1928,111400
Gettysburg College,Pennsylvania,42,24,Not Division 1 Football,Private not-for-profit,2664,111400
Fordham University,New York,44,10,Not Division 1 Football,Private not-for-profit,9785,111300
Case Western Reserve University,Ohio,33,38,Not Division 1 Football,Private not-for-profit,5298,111100
University of California-Davis,California,46,38,Not Division 1 Football,Public,30215,110900
Saint Johns University,Minnesota,1,24,Not Division 1 Football,Private not-for-profit,1781,110800
Kenyon College,Ohio,43,18,Not Division 1 Football,Private not-for-profit,1764,110400
Hofstra University,New York,42,8,Not Division 1 Football,Private not-for-profit,7362,110200
SUNY at Binghamton,New York,36,34,Not Division 1 Football,Public,14663,110200
Virginia Polytechnic Institute and State University,Virginia,30,40,ACC,Public,26211,110200
South Dakota School of Mines and Technology,South Dakota,11,71,Not Division 1 Football,Public,2793,109900
Emory University,Georgia,46,22,Not Division 1 Football,Private not-for-profit,7764,109800
University of the Pacific,California,40,19,Not Division 1 Football,Private not-for-profit,3973,109700
University of San Francisco,California,49,7,Not Division 1 Football,Private not-for-profit,7469,109600
University of Colorado Boulder,Colorado,33,37,Pac-12,Public,30187,109600
University of Illinois at Urbana-Champaign,Illinois,32,38,Big Ten,Public,34687,109600
DePauw University,Indiana,42,24,Not Division 1 Football,Private not-for-profit,2285,109400
Wentworth Institute of Technology,Massachusetts,9,36,Not Division 1 Football,Private not-for-profit,4459,108900
Stony Brook University,New York,34,36,Not Division 1 Football,Public,19410,108800
University of Washington-Seattle Campus,Washington,40,33,Pac-12,Public,34486,108800
San Jose State University,California,36,28,Mountain West,Public,27855,108700
Trinity College,Connecticut,36,19,Not Division 1 Football,Private not-for-profit,2434,108700
Tulane University of Louisiana,Louisiana,46,19,American Athletic,Private not-for-profit,8798,108700
Wittenberg University,Ohio,45,28,Not Division 1 Football,Private not-for-profit,1870,108700
Southern Methodist University,Texas,38,21,American Athletic,Private not-for-profit,6866,108500
California State Polytechnic University-Pomona,California,32,29,Not Division 1 Football,Public,22651,108300
St John's University-New York,New York,44,8,Not Division 1 Football,Private not-for-profit,17701,108200
Drexel University,Pennsylvania,37,29,Not Division 1 Football,Private not-for-profit,18721,108200
Citadel Military College of South Carolina,South Carolina,2,19,Not Division 1 Football,Public,2898,108200
University of San Diego,California,42,13,Not Division 1 Football,Private not-for-profit,6166,108100
Rutgers University-New Brunswick,New Jersey,38,29,Big Ten,Public,39735,108100
Providence College,Rhode Island,44,11,Not Division 1 Football,Private not-for-profit,4460,107900
Occidental College,California,45,26,Not Division 1 Football,Private not-for-profit,2178,107700
Whitman College,Washington,46,39,Not Division 1 Football,Private not-for-profit,1562,107700
Oberlin College,Ohio,44,24,Not Division 1 Football,Private not-for-profit,3042,107600
Michigan Technological University,Michigan,15,63,Not Division 1 Football,Public,6035,107500
University of California-Riverside,California,40,34,Not Division 1 Football,Public,19765,107400
University of Rochester,New York,39,33,Not Division 1 Football,Private not-for-profit,6821,107400
The University of Texas at Austin,Texas,40,27,Big 12,Public,42193,107400
University of Maryland-College Park,Maryland,34,33,Big Ten,Public,31050,107100
Capitol Technology University,Maryland,7,67,Not Division 1 Football,Private not-for-profit,528,107e3
Hamilton College,New York,40,29,Not Division 1 Football,Private not-for-profit,2036,107e3
American University,District of Columbia,50,4,Not Division 1 Football,Private not-for-profit,8666,106900
Milwaukee School of Engineering,Wisconsin,14,59,Not Division 1 Football,Private not-for-profit,2825,106900
Brigham Young University-Provo,Utah,36,26,FBS Independents,Private not-for-profit,35781,106600
University of Richmond,Virginia,43,15,Not Division 1 Football,Private not-for-profit,3910,106600
Pace University-New York,New York,46,12,Not Division 1 Football,Private not-for-profit,10231,106200
"University of St. Thomas - St Paul, MN",Minnesota,34,18,Not Division 1 Football,Private not-for-profit,6494,106100
Hampden-Sydney College,Virginia,1,24,Not Division 1 Football,Private not-for-profit,1112,105900
Gonzaga University,Washington,42,18,Not Division 1 Football,Private not-for-profit,5187,105800
University of Massachusetts-Lowell,Massachusetts,27,36,Not Division 1 Football,Public,16166,105500
Bryant University,Rhode Island,29,9,Not Division 1 Football,Private not-for-profit,3519,105200
Denison University,Ohio,45,23,Not Division 1 Football,Private not-for-profit,2283,105100
Saint Joseph's University,Pennsylvania,43,5,Not Division 1 Football,Private not-for-profit,5757,104800
University of Michigan-Ann Arbor,Michigan,37,39,Big Ten,Public,29124,104600
Miami University-Oxford,Ohio,39,19,Mid-American,Public,17717,104600
George Mason University,Virginia,41,23,Not Division 1 Football,Public,30789,104300
Colby College,Maine,41,29,Not Division 1 Football,Private not-for-profit,2055,104200
Pepperdine University,California,47,9,Not Division 1 Football,Private not-for-profit,3698,104e3
Furman University,South Carolina,44,17,Not Division 1 Football,Private not-for-profit,2887,104e3
Purdue University-Main Campus,Indiana,30,39,Big Ten,Public,31985,104e3
The New School,New York,62,1,Not Division 1 Football,Private not-for-profit,8586,103900
Reed College,Oregon,43,27,Not Division 1 Football,Private not-for-profit,1491,103900
La Salle University,Pennsylvania,51,6,Not Division 1 Football,Private not-for-profit,4284,103900
University of California-Santa Cruz,California,40,38,Not Division 1 Football,Public,17380,103800
Barnard College,New York,87,20,Not Division 1 Football,Private not-for-profit,2669,103700
Ithaca College,New York,45,9,Not Division 1 Football,Private not-for-profit,6582,103500
Catholic University of America,District of Columbia,41,15,Not Division 1 Football,Private not-for-profit,3561,103400
Northeastern University,Massachusetts,38,38,Not Division 1 Football,Private not-for-profit,18648,103300
Iona College,New York,39,6,Not Division 1 Football,Private not-for-profit,3558,103300
Wagner College,New York,51,12,Not Division 1 Football,Private not-for-profit,1874,103100
Marquette University,Wisconsin,41,25,Not Division 1 Football,Private not-for-profit,8488,103100
CUNY Bernard M Baruch College,New York,38,8,Not Division 1 Football,Public,18799,103e3
Syracuse University,New York,44,28,ACC,Private not-for-profit,27675,102900
Ohio Wesleyan University,Ohio,41,18,Not Division 1 Football,Private not-for-profit,1734,102800
Saint Michael's College,Vermont,42,19,Not Division 1 Football,Private not-for-profit,2094,102800
University of Delaware,Delaware,45,23,Not Division 1 Football,Public,20498,102700
Pratt Institute-Main,New York,61,1,Not Division 1 Football,Private not-for-profit,4513,102700
Bradley University,Illinois,38,39,Not Division 1 Football,Private not-for-profit,4647,102600
Montana Tech of the University of Montana,Montana,18,57,Not Division 1 Football,Public,2306,102600
University of Dayton,Ohio,35,31,Not Division 1 Football,Private not-for-profit,8999,102600
Lawrence Technological University,Michigan,10,50,Not Division 1 Football,Private not-for-profit,3066,102300
University of Portland,Oregon,47,25,Not Division 1 Football,Private not-for-profit,4073,102100
California State University-Chico,California,40,12,Not Division 1 Football,Public,17353,102e3
St. John's College,Maryland,32,1,Not Division 1 Football,Private not-for-profit,414,101900
Lake Forest College,Illinois,44,24,Not Division 1 Football,Private not-for-profit,1595,101700
Albion College,Michigan,38,25,Not Division 1 Football,Private not-for-profit,1405,101700
North Carolina State University at Raleigh,North Carolina,34,47,ACC,Public,27249,101700
Dickinson College,Pennsylvania,46,23,Not Division 1 Football,Private not-for-profit,2427,101700
James Madison University,Virginia,46,14,Not Division 1 Football,Public,21306,101700
New York Institute of Technology,New York,23,36,Not Division 1 Football,Private not-for-profit,4407,101600
Trinity University,Texas,40,23,Not Division 1 Football,Private not-for-profit,2298,101600
Stonehill College,Massachusetts,48,18,Not Division 1 Football,Private not-for-profit,2532,101400
University of Scranton,Pennsylvania,45,14,Not Division 1 Football,Private not-for-profit,4068,101400
University of Washington-Bothell Campus,Washington,39,24,Not Division 1 Football,Public,5748,101200
Embry-Riddle Aeronautical University-Daytona Beach,Florida,8,40,Not Division 1 Football,Private not-for-profit,5629,101100
Clemson University,South Carolina,34,38,ACC,Public,19593,101100
Wellesley College,Massachusetts,82,30,Not Division 1 Football,Private not-for-profit,2644,100900
SUNY Downstate Medical Center,New York,66,2,Not Division 1 Football,Public,445,100600
Texas Tech University,Texas,33,23,Big 12,Public,31494,100600
West Virginia University Institute of Technology,West Virginia,29,45,Not Division 1 Football,Public,1497,100600
"Westminster College - Fulton, MO",Missouri,30,28,Not Division 1 Football,Private not-for-profit,1052,100500
Fashion Institute of Technology,New York,71,1,Not Division 1 Football,Public,11267,100500
SUNY at Albany,New York,37,18,Not Division 1 Football,Public,14671,100500
Saint Anselm College,New Hampshire,48,17,Not Division 1 Football,Private not-for-profit,1976,100400
Muhlenberg College,Pennsylvania,48,23,Not Division 1 Football,Private not-for-profit,2534,100400
DePaul University,Illinois,40,17,Not Division 1 Football,Private not-for-profit,18349,100200
Golden Gate University-San Francisco,California,39,3,Not Division 1 Football,Private not-for-profit,605,100100
San Diego State University,California,42,18,Mountain West,Public,30960,100100
Touro College,New York,58,8,Not Division 1 Football,Private not-for-profit,8689,99800
University of Puget Sound,Washington,47,22,Not Division 1 Football,Private not-for-profit,2520,99800
University of Tulsa,Oklahoma,30,36,American Athletic,Private not-for-profit,3699,99700
Pennsylvania State University-Main Campus,Pennsylvania,34,36,Big Ten,Public,43073,99600
Auburn University,Alabama,36,29,SEC,Public,22953,99500
Art Center College of Design,California,38,5,Not Division 1 Football,Private not-for-profit,2535,99500
Merrimack College,Massachusetts,40,12,Not Division 1 Football,Private not-for-profit,3522,99500
University of Redlands,California,44,6,Not Division 1 Football,Private not-for-profit,3848,99400
Ursinus College,Pennsylvania,40,44,Not Division 1 Football,Private not-for-profit,1663,99400
University of Massachusetts-Amherst,Massachusetts,38,25,Mid-American,Public,25988,99300
Coleman University,California,2,65,Not Division 1 Football,Private not-for-profit,516,99200
Connecticut College,Connecticut,50,28,Not Division 1 Football,Private not-for-profit,1972,99200
University of Connecticut,Connecticut,38,25,American Athletic,Public,20152,99200
University of Maryland-Baltimore County,Maryland,34,45,Not Division 1 Football,Public,12942,99100
University of Puerto Rico-Mayaguez,Puerto Rico,34,55,Not Division 1 Football,Public,12285,99100
Polytechnic University of Puerto Rico-Miami,Florida,45,27,Not Division 1 Football,Private not-for-profit,68,99e3
Vassar College,New York,45,28,Not Division 1 Football,Private not-for-profit,2625,98900
Willamette University,Oregon,45,13,Not Division 1 Football,Private not-for-profit,2149,98900
California State University-Long Beach,California,44,17,Not Division 1 Football,Public,34062,98800
Louisiana State University and Agricultural & Mechanical College,Louisiana,40,24,SEC,Public,27720,98800
University of California-San Francisco,California,88,18,Not Division 1 Football,Public,NA,98700
St Olaf College,Minnesota,45,33,Not Division 1 Football,Private not-for-profit,3122,98700
Rochester Institute of Technology,New York,20,47,Not Division 1 Football,Private not-for-profit,15289,98700
Oregon State University,Oregon,35,31,Pac-12,Public,28849,98700
Baylor University,Texas,46,18,Big 12,Private not-for-profit,14785,98700
Florida Institute of Technology,Florida,17,50,Not Division 1 Football,Private not-for-profit,3902,98600
Siena College,New York,39,17,Not Division 1 Football,Private not-for-profit,3246,98600
University of Alabama in Huntsville,Alabama,31,43,Not Division 1 Football,Public,6994,98500
University of Illinois at Chicago,Illinois,38,30,Not Division 1 Football,Public,19184,98500
Smith College,Massachusetts,87,24,Not Division 1 Football,Private not-for-profit,2603,98400
St Lawrence University,New York,42,25,Not Division 1 Football,Private not-for-profit,2532,98400
University of Wisconsin-Madison,Wisconsin,39,33,Big Ten,Public,33400,98400
Universidad Politecnica de Puerto Rico,Puerto Rico,9,59,Not Division 1 Football,Private not-for-profit,4085,98400
California College of the Arts,California,49,1,Not Division 1 Football,Private not-for-profit,1656,98300
The College of New Jersey,New Jersey,47,16,Not Division 1 Football,Public,7217,98300
University of Minnesota-Twin Cities,Minnesota,41,29,Big Ten,Public,44505,98200
Seattle Pacific University,Washington,56,11,Not Division 1 Football,Private not-for-profit,3467,98200
University of Rhode Island,Rhode Island,43,20,Not Division 1 Football,Public,15742,98100
Washington State University,Washington,40,21,Pac-12,Public,27313,98100
Grove City College,Pennsylvania,38,31,Not Division 1 Football,Private not-for-profit,2445,97900
University of Florida,Florida,43,28,SEC,Public,36703,97800
Drake University,Iowa,45,10,Not Division 1 Football,Private not-for-profit,3609,97800
Macalester College,Minnesota,48,34,Not Division 1 Football,Private not-for-profit,2238,97700
Felician University,New Jersey,61,11,Not Division 1 Football,Private not-for-profit,1937,97700
University of Houston,Texas,37,23,American Athletic,Public,39756,97700
Seattle University,Washington,48,13,Not Division 1 Football,Private not-for-profit,5187,97700
California State University-Fullerton,California,43,15,Not Division 1 Football,Public,36593,97600
Howard University,District of Columbia,55,13,Not Division 1 Football,Private not-for-profit,7203,97600
Wofford College,South Carolina,39,27,Not Division 1 Football,Private not-for-profit,1702,97600
"Wheaton College - Norton, MA",Massachusetts,52,27,Not Division 1 Football,Private not-for-profit,1635,97500
University of Utah,Utah,33,22,Pac-12,Public,28297,97500
University of Georgia,Georgia,45,13,SEC,Public,30197,97300
Skidmore College,New York,49,22,Not Division 1 Football,Private not-for-profit,2798,97300
University of Hartford,Connecticut,38,19,Not Division 1 Football,Private not-for-profit,6085,97200
Michigan State University,Michigan,38,20,Big Ten,Public,42452,97200
The University of Texas at Dallas,Texas,31,44,Not Division 1 Football,Public,17084,97200
University of Denver,Colorado,42,13,Not Division 1 Football,Private not-for-profit,6151,97100
Clark University,Massachusetts,48,15,Not Division 1 Football,Private not-for-profit,2508,97100
Rhodes College,Tennessee,46,31,Not Division 1 Football,Private not-for-profit,2130,97100
University of Alaska Fairbanks,Alaska,47,20,Not Division 1 Football,Public,13045,97e3
University of Arizona,Arizona,39,25,Pac-12,Public,36246,97e3
California State University-Sacramento,California,44,13,Not Division 1 Football,Public,29768,97e3
Colorado College,Colorado,42,29,Not Division 1 Football,Private not-for-profit,2322,97e3
Presbyterian College,South Carolina,42,17,Not Division 1 Football,Private not-for-profit,1134,97e3
Saint Peter's University,New Jersey,50,13,Not Division 1 Football,Private not-for-profit,2825,96800
Seton Hall University,New Jersey,44,9,Not Division 1 Football,Private not-for-profit,6349,96800
University of Vermont,Vermont,44,22,Not Division 1 Football,Public,12804,96800
Scripps College,California,87,25,Not Division 1 Football,Private not-for-profit,1023,96700
Butler University,Indiana,47,10,Not Division 1 Football,Private not-for-profit,4058,96700
University of Iowa,Iowa,40,16,Big Ten,Public,25883,96700
Oregon Institute of Technology,Oregon,36,25,Not Division 1 Football,Public,6456,96700
Notre Dame de Namur University,California,55,11,Not Division 1 Football,Private not-for-profit,1512,96600
"Wheaton College - Wheaton, IL",Illinois,41,16,Not Division 1 Football,Private not-for-profit,2545,96600
Manhattanville College,New York,53,5,Not Division 1 Football,Private not-for-profit,1856,96600
St. John's College-Department of Nursing,Illinois,72,1,Not Division 1 Football,Private not-for-profit,124,96500
San Francisco State University,California,44,14,Not Division 1 Football,Public,29787,96400
Arizona State University-Tempe,Arizona,31,31,Pac-12,Public,45594,96300
Rhode Island School of Design,Rhode Island,56,1,Not Division 1 Football,Private not-for-profit,2045,96300
Grinnell College,Iowa,43,37,Not Division 1 Football,Private not-for-profit,1774,96200
University of New Hampshire-Main Campus,New Hampshire,42,22,Not Division 1 Football,Public,13852,96100
University of Oklahoma-Norman Campus,Oklahoma,37,22,Big 12,Public,23570,96100
The University of Texas Health Science Center at Houston,Texas,71,15,Not Division 1 Football,Public,946,96100
University of North Carolina at Chapel Hill,North Carolina,46,19,ACC,Public,19312,96e3
Iowa State University,Iowa,31,33,Big 12,Public,32246,95800
University of Missouri-Columbia,Missouri,40,18,SEC,Public,29984,95700
Rutgers University-Newark,New Jersey,41,10,Not Division 1 Football,Public,9529,95700
Rush University,Illinois,53,7,Not Division 1 Football,Private not-for-profit,159,95600
McDaniel College,Maryland,42,7,Not Division 1 Football,Private not-for-profit,1813,95600
Ohio Northern University,Ohio,34,21,Not Division 1 Football,Private not-for-profit,2440,95600
Allegheny College,Pennsylvania,42,39,Not Division 1 Football,Private not-for-profit,1981,95600
Assumption College,Massachusetts,49,13,Not Division 1 Football,Private not-for-profit,2341,95500
Marist College,New York,46,17,Not Division 1 Football,Private not-for-profit,6112,95500
California Lutheran University,California,45,14,Not Division 1 Football,Private not-for-profit,3114,95300
John Carroll University,Ohio,38,17,Not Division 1 Football,Private not-for-profit,3325,95300
University of Texas Southwestern Medical Center,Texas,88,20,Not Division 1 Football,Public,NA,95300
Norwich University,Vermont,9,20,Not Division 1 Football,Private not-for-profit,3207,95300
California State University-Northridge,California,42,12,Not Division 1 Football,Public,38667,95200
University of Kansas,Kansas,38,18,Big 12,Public,20943,95200
Kalamazoo College,Michigan,44,40,Not Division 1 Football,Private not-for-profit,1467,95200
CUNY Queens College,New York,44,8,Not Division 1 Football,Public,20154,95200
Susquehanna University,Pennsylvania,43,17,Not Division 1 Football,Private not-for-profit,2413,95200
Western Washington University,Washington,44,15,Not Division 1 Football,Public,16084,95200
Otis College of Art and Design,California,55,1,Not Division 1 Football,Private not-for-profit,1154,95100
Lawrence University,Wisconsin,43,22,Not Division 1 Football,Private not-for-profit,1583,95100
Fairleigh Dickinson University-Florham Campus,New Jersey,42,12,Not Division 1 Football,Private not-for-profit,2678,95e3
Monmouth University,New Jersey,46,11,Not Division 1 Football,Private not-for-profit,4992,95e3
Rider University,New Jersey,46,5,Not Division 1 Football,Private not-for-profit,4520,95e3
Pacific Lutheran University,Washington,50,18,Not Division 1 Football,Private not-for-profit,3054,95e3
College of Staten Island CUNY,New York,44,10,Not Division 1 Football,Public,15614,94900
California State University-East Bay,California,49,13,Not Division 1 Football,Public,14540,94800
CUNY Brooklyn College,New York,47,9,Not Division 1 Football,Public,17563,94800
University of Oklahoma-Health Sciences Center,Oklahoma,75,4,Not Division 1 Football,Public,1002,94800
Lewis & Clark College,Oregon,49,11,Not Division 1 Football,Private not-for-profit,2241,94800
Linfield College-Online and Continuing Education,Oregon,70,1,Not Division 1 Football,Private not-for-profit,471,94800
Sarah Lawrence College,New York,60,1,Not Division 1 Football,Private not-for-profit,1422,94700
Hampshire College,Massachusetts,49,16,Not Division 1 Football,Private not-for-profit,1461,94500
Ramapo College of New Jersey,New Jersey,43,12,Not Division 1 Football,Public,6456,94500
West Virginia University,West Virginia,34,23,Big 12,Public,24343,94500
Chapman University,California,48,6,Not Division 1 Football,Private not-for-profit,6649,94400
Southern California Institute of Architecture,California,25,1,Not Division 1 Football,Private not-for-profit,287,94400
New Mexico State University-Main Campus,New Mexico,41,22,Sun Belt,Public,14169,94400
