college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
Embry-Riddle Aeronautical University-Worldwide,Florida,3,2,Not Division 1 Football,Private not-for-profit,14848,86300
Samford University,Alabama,52,4,Not Division 1 Football,Private not-for-profit,3282,86200
Emmanuel College,Massachusetts,62,16,Not Division 1 Football,Private not-for-profit,2194,86200
Rowan University,New Jersey,35,19,Not Division 1 Football,Public,14726,86200
LeTourneau University,Texas,39,25,Not Division 1 Football,Private not-for-profit,3132,86200
California State University-Channel Islands,California,52,16,Not Division 1 Football,Public,6483,86200
University of Hawaii at Manoa,Hawaii,43,18,Mountain West,Public,15844,86100
Wayne State University,Michigan,43,20,Not Division 1 Football,Public,20795,86100
University of Toledo,Ohio,37,20,Mid-American,Public,17965,86100
Humboldt State University,California,43,19,Not Division 1 Football,Public,8686,86e3
Florida Atlantic University,Florida,44,15,Conference USA,Public,32087,86e3
University of Evansville,Indiana,42,16,Not Division 1 Football,Private not-for-profit,2525,86e3
University of Louisiana at Monroe,Louisiana,52,8,Sun Belt,Public,8344,86e3
Our Lady of the Lake College,Louisiana,76,1,Not Division 1 Football,Private not-for-profit,1819,85900
Xavier University of Louisiana,Louisiana,60,36,Not Division 1 Football,Private not-for-profit,2474,85900
"Westminster College - New Wilmington, PA",Pennsylvania,45,17,Not Division 1 Football,Private not-for-profit,1229,85900
Old Dominion University,Virginia,42,20,Conference USA,Public,22680,85900
Woodbury University,California,38,1,Not Division 1 Football,Private not-for-profit,1526,85800
Regis University,Colorado,47,16,Not Division 1 Football,Private not-for-profit,5548,85700
Augustana College,Illinois,45,30,Not Division 1 Football,Private not-for-profit,2571,85700
Boston Architectural College,Massachusetts,34,1,Not Division 1 Football,Private not-for-profit,529,85700
Saint Edward's University,Texas,48,9,Not Division 1 Football,Private not-for-profit,4300,85700
Fitchburg State University,Massachusetts,42,12,Not Division 1 Football,Public,4844,85600
University of Houston-Victoria,Texas,53,13,Not Division 1 Football,Public,3601,85600
Hampton University,Virginia,53,14,Not Division 1 Football,Private not-for-profit,3877,85600
Southern Illinois University-Carbondale,Illinois,32,17,Not Division 1 Football,Public,14593,85500
Centre College,Kentucky,38,28,Not Division 1 Football,Private not-for-profit,1382,85500
Centenary College of Louisiana,Louisiana,44,26,Not Division 1 Football,Private not-for-profit,535,85500
University of South Dakota,South Dakota,51,9,Not Division 1 Football,Public,10096,85500
Minnesota State University-Mankato,Minnesota,41,12,Not Division 1 Football,Public,15299,85400
University of New Hampshire at Manchester,New Hampshire,40,29,Not Division 1 Football,Public,1038,85400
North Carolina A & T State University,North Carolina,42,28,Not Division 1 Football,Public,10489,85400
Juniata College,Pennsylvania,44,34,Not Division 1 Football,Private not-for-profit,1611,85400
Loras College,Iowa,36,16,Not Division 1 Football,Private not-for-profit,1569,85300
University of Maryland Eastern Shore,Maryland,42,18,Not Division 1 Football,Public,4073,85300
University of Mississippi,Mississippi,44,12,SEC,Public,20903,85300
University of Houston-Downtown,Texas,49,7,Not Division 1 Football,Public,16129,85300
University of Washington-Tacoma Campus,Washington,40,20,Not Division 1 Football,Public,4818,85300
Doane University-Arts & Sciences,Nebraska,35,20,Not Division 1 Football,Private not-for-profit,1078,85200
SUNY Polytechnic Institute,New York,27,31,Not Division 1 Football,Public,2371,85200
Cabrini University,Pennsylvania,50,5,Not Division 1 Football,Private not-for-profit,1673,85200
Mills College,California,87,7,Not Division 1 Football,Private not-for-profit,917,85100
Loyola University New Orleans,Louisiana,47,5,Not Division 1 Football,Private not-for-profit,3076,85100
Salve Regina University,Rhode Island,59,7,Not Division 1 Football,Private not-for-profit,2252,85100
Vanguard University of Southern California,California,54,4,Not Division 1 Football,Private not-for-profit,2451,85e3
University of North Florida,Florida,43,13,Not Division 1 Football,Public,16481,85e3
Nichols College,Massachusetts,28,1,Not Division 1 Football,Private not-for-profit,1379,85e3
Mount Saint Mary College,New York,58,8,Not Division 1 Football,Private not-for-profit,2393,85e3
New York School of Interior Design,New York,77,1,Not Division 1 Football,Private not-for-profit,513,85e3
SUNY at Purchase College,New York,44,7,Not Division 1 Football,Public,4849,85e3
